RunID,Junge,n,mua,mus,DomainX,DomainY,DomainZ,SourceX,SourceY,SourceZ,TotalSignal,MeanBinWeight,MedianBinWeight,StdBinWeight,MinBinWeight,MaxBinWeight,PeakPosition,WeightedMeanPosition,WeightedMedianPosition,WeightedStdPosition,WeightedSkewness,WeightedKurtosis
run_000070,3.4,1.1,0.0045,0.01,100,30,90,1,15,50,1070.981661,10.70981661,11.54459381,6.430847599,0,23.84401703,93.5,65.61067669,68.5,23.53025661,-0.5084721926,2.384843954
run_000071,3.4,1.1,0.0045,0.01,100,30,95,1,15,50,786.2966672,7.862966672,7.59102726,5.188285489,0,18.80940628,98.5,66.70333462,69.5,23.36631223,-0.5316834991,2.410994383
run_000072,3.4,1.1,0.0045,0.01,100,30,100,1,15,50,639.4460822,6.394460822,5.391307354,4.356459413,0,19.8586998,88.5,67.37134411,70.5,23.16062774,-0.6460742443,2.554375061
run_000073,3.4,1.1,0.005,0.01,100,30,60,1,15,50,15128.35579,151.2835579,178.3451462,70.04345308,2.803162575,234.028183,83.5,62.3907088,64.5,23.75188775,-0.3309445182,2.150342843
run_000074,3.4,1.1,0.005,0.01,100,30,65,1,15,50,7551.212813,75.51212813,87.12362671,39.00472098,1.823310494,136.1003571,78.5,64.142918,66.5,23.37595042,-0.4137400582,2.273431929
run_000075,3.4,1.1,0.005,0.01,100,30,70,1,15,50,4423.086249,44.23086249,49.48709106,24.07515766,0,85.34741211,85.5,64.82776504,67.5,23.0601298,-0.4570932392,2.318529018
run_000076,3.4,1.1,0.005,0.01,100,30,75,1,15,50,2768.388051,27.68388051,29.19013119,15.17956576,0.7995336652,54.89479065,95.5,64.93404,67.5,23.55360564,-0.4608604141,2.312794299
run_000077,3.4,1.1,0.005,0.01,100,30,80,1,15,50,1915.604556,19.15604556,20.54612541,11.10351908,0.8380386233,39.51034546,92.5,65.65309525,68.5,23.4143029,-0.4877754095,2.362544204
run_000078,3.4,1.1,0.005,0.01,100,30,85,1,15,50,1413.397477,14.13397477,14.5270257,8.680861308,0,30.86113167,92.5,66.89897749,70.5,22.98782542,-0.5233679546,2.375078441
run_000079,3.4,1.1,0.005,0.01,100,30,90,1,15,50,1031.068084,10.31068084,9.823773861,6.214433443,0,23.90090942,90.5,65.81192223,69.5,23.37966381,-0.5338928726,2.390095949
run_000080,3.4,1.1,0.005,0.01,100,30,95,1,15,50,791.4973306,7.914973306,7.898909569,5.0521064,0,19.07077789,90.5,66.31525866,70.5,23.70819464,-0.5775116656,2.459984262
